"","pkg_cnt","median","median_4th","max","max_4th","avg","avg_4th"
"1",0,59.01953125,236.078125,59.26171875,237.046875,58.9967897585085,235.987159034034
"2",1,68.44921875,273.796875,236.453125,945.8125,78.097558495996,312.390233983984
"3",2,70.5703125,282.28125,238.9609375,955.84375,89.9656179617117,359.862471846847
"4",3,72.84765625,291.390625,321.30859375,1285.234375,103.367785754505,413.471143018018
"5",4,78.93359375,315.734375,321.48828125,1285.953125,116.393115772022,465.572463088088
"6",5,104.28515625,417.140625,321.48828125,1285.953125,126.665403684935,506.66161473974
"7",6,113.703125,454.8125,321.48828125,1285.953125,137.024340746997,548.097362987988
"8",7,122.98828125,491.953125,321.61328125,1286.453125,147.026690753253,588.106763013013
"9",8,133.41796875,533.671875,333.42578125,1333.703125,156.154494338088,624.617977352352
"10",9,149.30859375,597.234375,368.09765625,1472.390625,162.776757225976,651.107028903904
"11",10,199.265625,797.0625,368.17578125,1472.703125,170.114794481982,680.459177927928
"12",11,205.62890625,822.515625,368.21484375,1472.859375,177.251564064064,709.006256256256
"13",12,210.390625,841.5625,377.50390625,1510.015625,184.409706581582,737.638826326326
"14",13,213.12109375,852.484375,377.58984375,1510.359375,190.066324136637,760.265296546547
"15",14,215.55859375,862.234375,377.59375,1510.375,196.391305367868,785.565221471471
"16",15,218.10546875,872.421875,386.58203125,1546.328125,201.958552302302,807.834209209209
"17",16,219.62109375,878.484375,386.65625,1546.625,207.006412662663,828.025650650651
"18",17,222.59765625,890.390625,386.734375,1546.9375,213.6855566504,854.742226601602
"19",18,225.03125,900.125,386.91796875,1547.671875,218.716509478228,874.866037912913
"20",19,227.05859375,908.234375,406.23828125,1624.953125,223.709369525776,894.837478103103
"21",20,229.71875,918.875,406.2578125,1625.03125,229.948080893393,919.792323573574
"22",21,232.1640625,928.65625,406.33984375,1625.359375,234.796186811812,939.184747247247
"23",22,234.4453125,937.78125,406.33984375,1625.359375,239.332289320571,957.329157282282
"24",23,236.765625,947.0625,411.26953125,1645.078125,244.141133320821,976.564533283283
"25",24,239.1875,956.75,421.89453125,1687.578125,249.305078516016,997.220314064064
"26",25,241.3828125,965.53125,421.89453125,1687.578125,254.396830424174,1017.5873216967
"27",26,244.43359375,977.734375,421.8984375,1687.59375,260.059297578829,1040.23719031532
"28",27,247.359375,989.4375,422.36328125,1689.453125,263.69237205956,1054.76948823824
"29",28,251.625,1006.5,422.41015625,1689.640625,268.285465152653,1073.14186061061
"30",29,255.8828125,1023.53125,422.60546875,1690.421875,273.17164039039,1092.68656156156
"31",30,262.2890625,1049.15625,433.7421875,1734.96875,278.622966716717,1114.49186686687
"32",31,267.5625,1070.25,434.94140625,1739.765625,284.329235485485,1137.31694194194
"33",32,278.4609375,1113.84375,436.42578125,1745.703125,289.879743024274,1159.5189720971
"34",33,290.0234375,1160.09375,437.98046875,1751.921875,294.692000594344,1178.76800237738
"35",34,305.34375,1221.375,439.26953125,1757.078125,299.734515765766,1198.93806306306
"36",35,314.12109375,1256.484375,440.703125,1762.8125,303.596889858609,1214.38755943443
"37",36,322.21484375,1288.859375,444.359375,1777.4375,308.069526557808,1232.27810623123
"38",37,328.921875,1315.6875,446.5390625,1786.15625,312.632182964214,1250.52873185686
"39",38,333.19921875,1332.796875,476.64453125,1906.578125,316.389193881381,1265.55677552553
"40",39,338.0859375,1352.34375,520.4609375,2081.84375,319.789426144895,1279.15770457958
"41",40,342.921875,1371.6875,521.91796875,2087.671875,324.183366960711,1296.73346784284
"42",41,346.94140625,1387.765625,524.046875,2096.1875,327.873846502753,1311.49538601101
"43",42,349.77734375,1399.109375,525.17578125,2100.703125,331.746519957457,1326.98607982983
"44",43,352.60546875,1410.421875,527.5625,2110.25,335.334533752503,1341.33813501001
"45",44,354.9453125,1419.78125,528.703125,2114.8125,338.391551707958,1353.56620683183
"46",45,356.61328125,1426.453125,534.265625,2137.0625,341.604479479479,1366.41791791792
"47",46,359.86328125,1439.453125,534.265625,2137.0625,344.756490865866,1379.02596346346
"48",47,360.97265625,1443.890625,535.35546875,2141.421875,348.395215528028,1393.58086211211
"49",48,362.75390625,1451.015625,537.17578125,2148.703125,351.464237675175,1405.8569507007
"50",49,364.015625,1456.0625,537.55859375,2150.234375,354.078453453453,1416.31381381381
"51",50,366.6171875,1466.46875,543.74609375,2174.984375,356.896799142893,1427.58719657157
"52",51,368.640625,1474.5625,544.31640625,2177.265625,359.713795827077,1438.85518330831
"53",52,369.96484375,1479.859375,544.9453125,2179.78125,362.236185404154,1448.94474161662
"54",53,371.68359375,1486.734375,545.70703125,2182.828125,364.807639670921,1459.23055868368
"55",54,372.78515625,1491.140625,550.484375,2201.9375,366.868254973724,1467.47301989489
"56",55,374.42578125,1497.703125,550.484375,2201.9375,369.216337431181,1476.86534972472
"57",56,376.1171875,1504.46875,551.34765625,2205.390625,371.149555805806,1484.59822322322
"58",57,376.85546875,1507.421875,551.34765625,2205.390625,373.003984453203,1492.01593781281
"59",58,378.453125,1513.8125,551.34765625,2205.390625,374.953985235235,1499.81594094094
"60",59,379.57421875,1518.296875,552.2421875,2208.96875,377.052204548298,1508.20881819319
"61",60,380.11328125,1520.453125,573.18359375,2292.734375,378.686021959459,1514.74408783784
"62",61,381.5703125,1526.28125,573.18359375,2292.734375,380.084201388889,1520.33680555556
"63",62,382.51953125,1530.078125,573.453125,2293.8125,381.9213940503,1527.6855762012
"64",63,384.3359375,1537.34375,573.56640625,2294.265625,383.605621246246,1534.42248498498
"65",64,384.91015625,1539.640625,573.56640625,2294.265625,384.979229229229,1539.91691691692
"66",65,385.43359375,1541.734375,573.63671875,2294.546875,386.442297766517,1545.76919106607
"67",66,386.5546875,1546.21875,576.5390625,2306.15625,387.985372090841,1551.94148836336
"68",67,387.54296875,1550.171875,578.85546875,2315.421875,389.368352727728,1557.47341091091
"69",68,388.78515625,1555.140625,583.640625,2334.5625,391.18236986987,1564.72947947948
"70",69,389.6484375,1558.59375,585.30078125,2341.203125,392.32128221972,1569.28512887888
"71",70,390.671875,1562.6875,586.78125,2347.125,394.159929460711,1576.63971784284
"72",71,391.5234375,1566.09375,588.09765625,2352.390625,395.289883633634,1581.15953453453
"73",72,391.828125,1567.3125,589.2265625,2356.90625,396.643995558058,1586.57598223223
"74",73,393.73828125,1574.953125,595.10546875,2380.421875,398.084525932182,1592.33810372873
"75",74,394.13671875,1576.546875,597.53515625,2390.140625,399.203942223473,1596.81576889389
"76",75,394.83203125,1579.328125,597.5546875,2390.21875,400.553088244495,1602.21235297798
"77",76,395.83984375,1583.359375,597.5546875,2390.21875,401.819796358859,1607.27918543544
